Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) ",Water to Cement Ratio (W/C),Blast Furnace/Cement,Fly Ash/Cement
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13,0.850205838,0.458840037,0.114593078
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97,0.850205838,0.458840037,0.114593078
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36,0.850008708,0,0.51458424
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32,0.850008708,0,0.51458424
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54,0.850008708,0,0.51458424
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35,0.850008708,0,0.51458424
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86,0.850008708,0,0.51458424
238.1,0,94.1,186.7,7,949.9,847,3,19.93,0.784120983,0,0.395212096
238.1,0,94.1,186.7,7,949.9,847,14,25.69,0.784120983,0,0.395212096
238.1,0,94.1,186.7,7,949.9,847,28,30.23,0.784120983,0,0.395212096
238.1,0,94.1,186.7,7,949.9,847,56,39.59,0.784120983,0,0.395212096
238.1,0,94.1,186.7,7,949.9,847,100,44.3,0.784120983,0,0.395212096
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82,0.74968,0,0.3828
250,0,95.7,187.4,5.5,956.9,861.2,14,24.92,0.74968,0,0.3828
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22,0.74968,0,0.3828
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33,0.74968,0,0.3828
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35,0.74968,0,0.3828
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54,0.749670619,0,0.472470588
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31,0.749670619,0,0.472470588
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64,0.749670619,0,0.472470588
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55,0.749670619,0,0.472470588
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92,0.749670619,0,0.472470588
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33,0.749635414,0,0.472248354
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37,0.749635414,0,0.472248354
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4,0.749635414,0,0.472248354
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4,0.749635414,0,0.472248354
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74,0.749635414,0,0.472248354
212,0,124.8,159,7.8,1085.4,799.5,3,19.52,0.75,0,0.588679245
212,0,124.8,159,7.8,1085.4,799.5,14,31.35,0.75,0,0.588679245
212,0,124.8,159,7.8,1085.4,799.5,28,38.5,0.75,0,0.588679245
212,0,124.8,159,7.8,1085.4,799.5,56,45.08,0.75,0,0.588679245
212,0,124.8,159,7.8,1085.4,799.5,100,47.82,0.75,0,0.588679245
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44,0.750636462,0,0.524590164
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77,0.750636462,0,0.524590164
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73,0.750636462,0,0.524590164
231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7,0.750636462,0,0.524590164
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84,0.750636462,0,0.524590164
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22,0.74969169,0,0.470564837
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93,0.74969169,0,0.470564837
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65,0.74969169,0,0.470564837
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97,0.74969169,0,0.470564837
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58,0.74969169,0,0.470564837
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12,0.74969169,0,0.470564837
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43,0.74969169,0,0.470564837
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66,0.74969169,0,0.470564837
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64,0.74969169,0,0.470564837
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21,0.74969169,0,0.470564837
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62,0.934998346,0,0.92061742
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6,0.934998346,0,0.92061742
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77,0.934998346,0,0.92061742
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57,0.934998346,0,0.92061742
181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37,0.934998346,0,0.92061742
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32,0.935014283,0.248351648,0.67032967
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5,0.935014283,0.248351648,0.67032967
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27,0.935014283,0.248351648,0.67032967
182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5,0.935014283,0.248351648,0.67032967
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67,0.935014283,0.248351648,0.67032967
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4,0.937529607,0.249851983,0.735938425
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,0.937529607,0.249851983,0.735938425
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12,0.937529607,0.249851983,0.735938425
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,0.937529607,0.249851983,0.735938425
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15,0.937529607,0.249851983,0.735938425
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5,0.57888755,0,0.331267218
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67,0.57888755,0,0.331267218
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74,0.57888755,0,0.331267218
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08,0.57888755,0,0.331267218
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97,0.57888755,0,0.331267218
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14,0.579678758,0,0.351497654
277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89,0.579678758,0,0.351497654
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28,0.579678758,0,0.351497654
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04,0.579678758,0,0.351497654
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64,0.579678758,0,0.351497654
295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95,0.580095364,0,0.323300643
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23,0.580095364,0,0.323300643
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94,0.580095364,0,0.323300643
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72,0.580095364,0,0.323300643
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04,0.580095364,0,0.323300643
251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02,0.580358207,0,0.396743447
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36,0.580358207,0,0.396743447
